"","country_code","add_sub_dels","add_plus_dels","additions","commits","repos","adds_per_repo","add_plus_dels_per_repo","add_sub_dels_per_repo"
"56","sk",67108383,163003277,115055830,257315,11499,22.1738033594549,31.4143369453313,12.9332697735785
"57","co",397478060,690621298,544049679,248564,17359,104.850406971299,133.097999968394,76.6028139742038
"58","th",270395512,430098794,350247153,239846,17546,67.5003734954666,82.8895509536083,52.1111960373249
"59","lk",283959139,580469619,432214379,214948,6541,83.2972709777063,111.869334981493,54.7252069739197
"60","ph",232873110,374544384,303708747,209225,12772,58.5313932768503,72.1829873393131,44.8797992143876
"61","ee",54132313,151258827,102695570,199125,10929,19.7917078610196,29.1509216549896,10.4324940670496
"62","vn",383796879,622714925,503255902,193281,13519,96.9885438263589,120.010939871084,73.9661477816335
"63","no ",85884434,277475064,181679749,187978,9462,35.0137062043803,53.4755823002464,16.5518301085141
"64","rs",24962969,218621291,121792130,184555,6947,23.4720373695898,42.1331584572826,4.81091628189696
"65","cl",248114172,780189808,514151990,183829,11065,99.0884609943922,150.359833010138,47.817088978646
"66","hr",123314649,266639483,194977066,179385,10512,37.5763933134675,51.3873261694667,23.7654604574683
"67","si",72735479,161223859,116979669,169969,5996,22.5445696881255,31.071403737807,14.0177356384441
"68","br ",334654700,585305178,459979939,156695,12159,88.6483085357783,112.801254158462,64.4953629130951
"69","ke",244694753,452175005,348434879,154216,7028,67.1511082100008,87.1441251167414,47.1580913032602
"70","kr ",148286903,343116385,245701644,147843,9915,47.3521414703696,66.126116776499,28.5781661642401
"71","ng",203722290,394505768,299114029,147839,8130,57.6458894877408,76.0299875617144,39.2617914137671
"72","it ",204246383,370699083,287472733,145621,9602,55.4023542548611,71.4419127824487,39.3627957272735
"73","es ",103224211,339951027,221587619,141316,8278,42.7048354750542,65.5160822753853,19.8935886747232
"74","uy",60049120,121079264,90564192,139962,8340,17.4537229866224,23.3346523235157,11.5727936497291
"75","ch ",76235252,186226792,131231022,133738,9199,25.291120636723,35.8900219664671,14.692219306979
"76","my",91556706,257079132,174317919,131424,9342,33.5949187271552,49.5448350664834,17.6450023878271
"77","ir",140072313,210458267,175265290,129863,9013,33.7774980737424,40.5599631746575,26.9950329728273
"78","lv",121524236,164365188,142944712,126568,5712,27.5486077946846,31.6768073191235,23.4204082702457
"79","pk",148796550,240037212,194416881,121508,7063,37.4684332732426,46.2604801324695,28.6763864140157
"80","be ",82592118,171931788,127261953,114651,6115,24.5261932486358,33.1350585046537,15.917327992618
"81","lt",50139832,92250286,71195059,114464,7713,13.7208626319135,17.7786705951143,9.6630546687126
"82","bd",352591095,534167517,443379306,108693,8800,85.448999367486,102.945895770482,67.9521029644902
"83","se ",56757037,151261649,104009343,106646,5654,20.044900977448,29.1514655168094,10.9383364380867
"84","eg",196834519,334290299,265562409,100034,6427,51.1797501858805,64.4251347802139,37.9343655915471
"85","jp ",56860382,96018576,76439479,92943,4503,14.7315783671734,18.5049034288734,10.9582533054734
"86","am",50679688,118668168,84673928,92181,1733,16.3185388271471,22.8699807933136,9.76709686098067
"87","bg ",102392476,188797714,145595095,86684,11978,28.0593952225728,36.3854955020585,19.7332949430872
"88","za",48107169,99511879,73809524,79643,3743,14.2247278667319,19.1781401852985,9.2713155481653
"89","pe ",74392836,123980708,99186772,77049,3402,19.1154848753608,23.893824759319,14.3371449914027
"90","by ",89884574,190950696,140417635,75497,5238,27.0615841604003,36.8004227552402,17.3227455655604
"91","lu",22889665,53872557,38381111,74277,3142,7.39688904101088,10.3824333403099,4.41134474171189
"92","ua ",52928278,136937098,94932688,71946,4535,18.2956287925304,26.3908076945462,10.2004498905146
"93","lt ",22982836,34048360,28515598,68532,1256,5.49558647075307,6.56187208724607,4.42930085426006
"94","ma",39602926,71883840,55743383,65239,13893,10.7429828912866,13.8536059657517,7.63235981682148
"95","at ",31290151,109730449,70510300,61638,2480,13.5888944264378,21.1474846487196,6.03030420415594
"96","tr ",89048619,135566369,112307494,61562,4633,21.6441382218455,26.1266378971087,17.1616385465823
"97","vn ",154383840,273001440,213692640,60319,5035,41.1832983928132,52.6134160034135,29.7531807822128
"98","id ",336915367,432758655,384837011,59265,3543,74.1666042247001,83.4021650017403,64.9310434476599
"99","np",80905792,148825572,114865682,57419,3771,22.1371576339737,28.6819795953529,15.5923356725944
"100","mx ",80622634,122529986,101576310,57286,2790,19.5760017021218,23.6142385414173,15.5377648628262
"101","ve",113733916,275005404,194369660,55103,4261,37.4593327420619,52.999624191868,21.9190412922558
"102","ro ",55931962,114185350,85058656,51776,3548,16.3926844225409,22.0060426093187,10.7793262357631
"103","ec",64305684,131507986,97906835,46558,2690,18.8688127045504,25.3444977256863,12.3931276834146
"104","pe",78975200,166718186,122846693,46251,2904,23.6752749855555,32.1302820796567,15.2202678914543
"105","cr",86687798,155494380,121091089,45424,3790,23.3369312625727,29.9672064042331,16.7066561209123
"106","il ",43933621,91415575,67674598,42796,2854,13.0423919281809,17.6178033224522,8.46698053390965
"107","ae",49826226,81813152,65819689,41533,2620,12.6849099351721,15.7672040144788,9.60261585586544
"108","th ",56966259,96209389,76587824,41092,2860,14.7601677299146,18.5416773145637,10.9786581452655
"109","lk ",26291776,75528996,50910386,40958,1335,9.81155746838683,14.5561081541114,5.06700678266226
"110","is",38214083,59757629,48985856,39123,2440,9.44065796873199,11.5166168865433,7.36469905092065
"111","sa",29267632,53256798,41262215,38607,2263,7.95214150891398,10.2637629610443,5.64052005678364
"112","mt",21725483,52181019,36953251,38196,2977,7.12170883619352,10.0564365526022,4.18698111978489
