academic_terms,original_string,new_string,domains,country
université de skikda,université de skikda,université de skikda,univ-skikda.dz,Algeria
université des sciences et de la technologie d'oran,université des sciences et de la technologie d'oran,université des sciences et de la technologie d'oran,univ-usto.dz,Algeria
université des sciences et de la technologie houari boumediène,université des sciences et de la technologie houari boumediène,université des sciences et de la technologie houari boumediène,usthb.dz,Algeria
universite des sciences islamiques de constantine,universite des sciences islamiques de constantine,universite des sciences islamiques de constantine,univ-emir.dz,Algeria
université kasdi merbah ouargla,université kasdi merbah ouargla,université kasdi merbah ouargla,univ-ouargla.dz,Algeria
université m'hamed bouguerra de boumerdes,université m'hamed bouguerra de boumerdes,université m'hamed bouguerra de boumerdes,umbb.dz,Algeria
université mentouri constantine,université mentouri constantine,université mentouri constantine,umc.edu.dz,Algeria
université mouloud mammeri de tizi ouzou,université mouloud mammeri de tizi ouzou,université mouloud mammeri de tizi ouzou,ummto.dz,Algeria
university of andorra,university of andorra,university of andorra,uda.ad,Andorra
universidade católica de angola,universidade católica de angola,universidade católica de angola,ucan.edu,Angola
universidade gregorio semedo,universidade gregorio semedo,universidade gregorio semedo,ugs.ed.ao,Angola
universidade independente de angola,universidade independente de angola,universidade independente de angola,unia.ao,Angola
universidade lusíada de angola,universidade lusíada de angola,universidade lusíada de angola,ulangola.net,Angola
universidade metodista de angola,universidade metodista de angola,universidade metodista de angola,uma.co.ao,Angola
universidade metropolitana de angola,universidade metropolitana de angola,universidade metropolitana de angola,unimetroangola.com,Angola
universidade tecnica de angola,universidade tecnica de angola,universidade tecnica de angola,utanga.co.ao,Angola
univesidade agostinho neto,univesidade agostinho neto,univesidade agostinho neto,uan.ao,Angola
american university of antigua,american university of antigua,american university of antigua,auamed.org,Antigua and Barbuda
university of health sciences antigua,university of health sciences antigua,university of health sciences antigua,uhsa.ag,Antigua and Barbuda
instituto de enseñanza superior del ejército,instituto de enseñanza superior del ejército,instituto de enseñanza superior del ejército,iese.edu.ar,Argentina
instituto nacional de educación física general manuel belgrano,instituto nacional de educación física general manuel belgrano,instituto nacional de educación física general manuel belgrano,unlu.edu.ar,Argentina
instituto tecnológico de buenos aires,instituto tecnológico de buenos aires,instituto tecnológico de buenos aires,itba.edu.ar,Argentina
instituto universitario aeronáutico,instituto universitario aeronáutico,instituto universitario aeronáutico,iua.edu.ar,Argentina
instituto universitario cema,instituto universitario cema,instituto universitario cema,cema.edu.ar,Argentina
instituto universitario de ciencias de la salud buenos aires,instituto universitario de ciencias de la salud buenos aires,instituto universitario de ciencias de la salud buenos aires,iucs.uncoma.edu.ar,Argentina
instituto universitario de estudios navales y marítimos,instituto universitario de estudios navales y marítimos,instituto universitario de estudios navales y marítimos,inun.edu.ar,Argentina
instituto universitario de la policia federal,instituto universitario de la policia federal,instituto universitario de la policia federal,universidad-policial.edu.ar,Argentina
instituto universitario nacional del arte,instituto universitario nacional del arte,instituto universitario nacional del arte,iuna.edu.ar,Argentina
universidad juan agustín maza,universidad juan agustín maza,universidad juan agustín maza,umaza.edu.ar,Argentina
universidad abierta interamericana,universidad abierta interamericana,universidad abierta interamericana,vaneduc.edu.ar,Argentina
universidad adventista del plata,universidad adventista del plata,universidad adventista del plata,uapar.edu,Argentina
universidad argentina john f. kennedy,universidad argentina john f. kennedy,universidad argentina john f. kennedy,kennedy.edu.ar,Argentina
universidad argentina de la empresa,universidad argentina de la empresa,universidad argentina de la empresa,uade.edu.ar,Argentina
universidad atlantida argentina,universidad atlantida argentina,universidad atlantida argentina,atlantida.edu.ar,Argentina
universidad austral buenos aires,universidad austral buenos aires,universidad austral buenos aires,austral.edu.ar,Argentina
universidad autónoma de entre ríos,universidad autónoma de entre ríos,universidad autónoma de entre ríos,uader.edu.ar,Argentina
universidad blas pascal,universidad blas pascal,universidad blas pascal,ubp.edu.ar,Argentina
"universidad caece, buenos aires","universidad caece, buenos aires","universidad caece, buenos aires",caece.edu.ar,Argentina
universidad católica argentina santa maria de los buenos aires,universidad católica argentina santa maria de los buenos aires,universidad católica argentina santa maria de los buenos aires,uca.edu.ar,Argentina
universidad católica de córdoba,universidad católica de córdoba,universidad católica de córdoba,uccor.edu.ar,Argentina
universidad católica de cuyo,universidad católica de cuyo,universidad católica de cuyo,uccuyo.edu.ar,Argentina
universidad católica de la plata,universidad católica de la plata,universidad católica de la plata,ucalp.edu.ar,Argentina
universidad católica de salta,universidad católica de salta,universidad católica de salta,ucasal.net,Argentina
universidad católica de santa fé,universidad católica de santa fé,universidad católica de santa fé,ucsf.edu.ar,Argentina
universidad católica de santiago del estero,universidad católica de santiago del estero,universidad católica de santiago del estero,ucse.edu.ar,Argentina
universidad champagnat,universidad champagnat,universidad champagnat,uch.edu.ar,Argentina
universidad de belgrano,universidad de belgrano,universidad de belgrano,ub.edu.ar,Argentina
universidad de bologna representación en buenos aires,universidad de bologna representación en buenos aires,universidad de bologna representación en buenos aires,unibo.edu.ar,Argentina
universidad de buenos aires,universidad de buenos aires,universidad de buenos aires,uba.ar,Argentina
universidad de ciencias empresariales y sociales,universidad de ciencias empresariales y sociales,universidad de ciencias empresariales y sociales,uces.edu.ar,Argentina
universidad de concepción del uruguay,universidad de concepción del uruguay,universidad de concepción del uruguay,ucu.edu.ar,Argentina
universidad de congreso,universidad de congreso,universidad de congreso,ucongres.edu.ar,Argentina
universidad de flores - buenos aires,universidad de flores - buenos aires,universidad de flores - buenos aires,uflo.edu.ar,Argentina
universidad de la cuenca del plata,universidad de la cuenca del plata,universidad de la cuenca del plata,ucp.edu.ar,Argentina
universidad de la fraternidad de agrupaciones santo tomas de aquino (fasta),universidad de la fraternidad de agrupaciones santo tomas de aquino (fasta),universidad de la fraternidad de agrupaciones santo tomas de aquino (fasta),ufasta.edu.ar,Argentina
universidad de la marina mercante,universidad de la marina mercante,universidad de la marina mercante,udemm.edu.ar,Argentina
universidad de mendoza,universidad de mendoza,universidad de mendoza,um.edu.ar,Argentina
universidad de morón,universidad de morón,universidad de morón,unimoron.edu.ar,Argentina
universidad de palermo,universidad de palermo,universidad de palermo,palermo.edu.ar,Argentina
universidad de san andres,universidad de san andres,universidad de san andres,udesa.edu.ar,Argentina
universidad del aconcagua,universidad del aconcagua,universidad del aconcagua,uda.edu.ar,Argentina
universidad del centro educativo latinoamericano rosario,universidad del centro educativo latinoamericano rosario,universidad del centro educativo latinoamericano rosario,ucel.edu.ar,Argentina
universidad del cine - buenos aires,universidad del cine - buenos aires,universidad del cine - buenos aires,ucine.edu.ar,Argentina
universidad del museo social argentino,universidad del museo social argentino,universidad del museo social argentino,umsa.edu.ar,Argentina
universidad del norte santo tomás de aquino,universidad del norte santo tomás de aquino,universidad del norte santo tomás de aquino,unsta.edu.ar,Argentina
universidad del salvador,universidad del salvador,universidad del salvador,salvador.edu.ar,Argentina
universidad empresarial siglio 21,universidad empresarial siglio 21,universidad empresarial siglio 21,uesiglo21.edu.ar,Argentina
universidad maimónides,universidad maimónides,universidad maimónides,maimonides.edu.ar,Argentina
universidad nacional de catamarca,universidad nacional de catamarca,universidad nacional de catamarca,unca.edu.ar,Argentina
universidad nacional de córdoba,universidad nacional de córdoba,universidad nacional de córdoba,unc.edu.ar,Argentina
universidad nacional de cuyo,universidad nacional de cuyo,universidad nacional de cuyo,uncu.edu.ar,Argentina
universidad nacional de entre ríos,universidad nacional de entre ríos,universidad nacional de entre ríos,uner.edu.ar,Argentina
universidad nacional de formosa,universidad nacional de formosa,universidad nacional de formosa,unf.edu.ar,Argentina
universidad nacional de general san martín,universidad nacional de general san martín,universidad nacional de general san martín,unsam.edu.ar,Argentina
universidad nacional de general sarmiento,universidad nacional de general sarmiento,universidad nacional de general sarmiento,ungs.edu.ar,Argentina
universidad nacional de jujuy,universidad nacional de jujuy,universidad nacional de jujuy,unju.edu.ar,Argentina
universidad nacional de la matanza,universidad nacional de la matanza,universidad nacional de la matanza,unlam.edu.ar,Argentina
universidad nacional de la pampa,universidad nacional de la pampa,universidad nacional de la pampa,unlpam.edu.ar,Argentina
"universidad nacional de la patagonia ""san juan bosco""","universidad nacional de la patagonia ""san juan bosco""","universidad nacional de la patagonia ""san juan bosco""",unp.edu.ar,Argentina
universidad nacional de la patagonia austral,universidad nacional de la patagonia austral,universidad nacional de la patagonia austral,unpa.edu.ar,Argentina
universidad nacional de la plata,universidad nacional de la plata,universidad nacional de la plata,unlp.edu.ar,Argentina
universidad nacional de la rioja,universidad nacional de la rioja,universidad nacional de la rioja,unlar.edu.ar,Argentina
universidad nacional de lanus,universidad nacional de lanus,universidad nacional de lanus,unla.edu.ar,Argentina
universidad nacional de lomas de zamora,universidad nacional de lomas de zamora,universidad nacional de lomas de zamora,unlz.edu.ar,Argentina
universidad nacional de luján,universidad nacional de luján,universidad nacional de luján,unlu.edu.ar,Argentina
universidad nacional de mar del plata,universidad nacional de mar del plata,universidad nacional de mar del plata,mdp.edu.ar,Argentina
universidad nacional de misiones,universidad nacional de misiones,universidad nacional de misiones,unam.edu.ar,Argentina
universidad nacional de quilmes,universidad nacional de quilmes,universidad nacional de quilmes,unq.edu.ar,Argentina
universidad nacional de río cuarto,universidad nacional de río cuarto,universidad nacional de río cuarto,unrc.edu.ar,Argentina
universidad nacional de rosario,universidad nacional de rosario,universidad nacional de rosario,unr.edu.ar,Argentina
universidad nacional de salta,universidad nacional de salta,universidad nacional de salta,unsa.edu.ar,Argentina
universidad nacional de san juan,universidad nacional de san juan,universidad nacional de san juan,unsj.edu.ar,Argentina
universidad nacional de san luis,universidad nacional de san luis,universidad nacional de san luis,unsl.edu.ar,Argentina
universidad nacional de santiago del estero,universidad nacional de santiago del estero,universidad nacional de santiago del estero,unse.edu.ar,Argentina
universidad nacional de tres de febrero,universidad nacional de tres de febrero,universidad nacional de tres de febrero,untref.edu.ar,Argentina
universidad nacional de tucumán,universidad nacional de tucumán,universidad nacional de tucumán,unt.edu.ar,Argentina
universidad nacional de villa maría,universidad nacional de villa maría,universidad nacional de villa maría,webs.satlink.com,Argentina
universidad nacional del centro de la provincia de buenos aires,universidad nacional del centro de la provincia de buenos aires,universidad nacional del centro de la provincia de buenos aires,unicen.edu.ar,Argentina
universidad nacional del comahue,universidad nacional del comahue,universidad nacional del comahue,uncoma.edu.ar,Argentina
universidad nacional del littoral,universidad nacional del littoral,universidad nacional del littoral,unl.edu.ar,Argentina
universidad nacional del nordeste,universidad nacional del nordeste,universidad nacional del nordeste,unne.edu.ar,Argentina
universidad nacional del noroeste de la provincia de buenos aires,universidad nacional del noroeste de la provincia de buenos aires,universidad nacional del noroeste de la provincia de buenos aires,unnoba.edu.ar,Argentina
universidad nacional del sur,universidad nacional del sur,universidad nacional del sur,uns.edu.ar,Argentina
universidad notarial argentina,universidad notarial argentina,universidad notarial argentina,universidadnotarial.edu.ar,Argentina
universidad tecnológica nacional,universidad tecnológica nacional,universidad tecnológica nacional,utn.edu.ar,Argentina
universidad torcuato di tella,universidad torcuato di tella,universidad torcuato di tella,utdt.edu,Argentina
american university of armenia,american university of armenia,american university of armenia,aua.am,Armenia
armenian state agrarian university,armenian state agrarian university,armenian state agrarian university,asau.am,Armenia
armenian state university of economics,armenian state university of economics,armenian state university of economics,asue.am,Armenia
eurasia international university,eurasia international university,eurasia international university,eiu.am,Armenia
european regional educational academy of armenia,european regional educational academy of armenia,european regional educational academy of armenia,eriicta.am,Armenia
french university in armenia|ufar,french university in armenia|ufar,french university in armenia,ufar.am,Armenia
mehrabyan medical institute and medical college,mehrabyan medical institute and medical college,mehrabyan medical institute and medical college,armmed.am,Armenia
russian armenian state university,russian armenian state university,russian-armenian state university,rau.am,Armenia
state engineering university of armenia,state engineering university of armenia,state engineering university of armenia,seua.am,Armenia
yerevan haibusak university,yerevan haibusak university,yerevan haibusak university,haybusak.org,Armenia
yerevan state medical university,yerevan state medical university,yerevan state medical university,ysmu.am,Armenia
yerevan state university,yerevan state university,yerevan state university,ysu.am,Armenia
australian catholic university,australian catholic university,australian catholic university,acu.edu.au,Australia
australian correspondence schools,australian correspondence schools,australian correspondence schools,acs.edu.au,Australia
australian defence force academy,australian defence force academy,australian defence force academy,adfa.oz.au,Australia
australian lutheran college,australian lutheran college,australian lutheran college,alc.edu.au,Australia
australian maritime college,australian maritime college,australian maritime college,amc.edu.au,Australia
australian national university,australian national university,australian national university,anu.edu.au,Australia
avondale college,avondale college,avondale college,avondale.edu.au,Australia
batchelor institute of indigenous tertiary education,batchelor institute of indigenous tertiary education,batchelor institute of indigenous tertiary education,nt.gov.au,Australia
blue mountains hotel school,blue mountains hotel school,blue mountains hotel school,hotelschool.com.au,Australia
bond university,bond university,bond university,bond.edu.au,Australia
box hill institute,box hill institute,box hill institute,bhtafe.edu.au,Australia
box hill institute,box hill institute,box hill institute,boxhill.edu.au,Australia
central queensland university,central queensland university,central queensland university,cqu.edu.au,Australia
charles darwin university,charles darwin university,charles darwin university,cdu.edu.au,Australia
charles sturt university,charles sturt university,charles sturt university,csu.edu.au,Australia
curtin university of technology,curtin university of technology,curtin university of technology,curtin.edu.au,Australia
deakin university|deakin,deakin university|deakin,deakin university,deakin.edu.au,Australia
edith cowan university,edith cowan university,edith cowan university,ecu.edu.au,Australia
federation university australia,federation university australia,federation university australia,federation.edu.au,Australia
flinders university of south australia,flinders university of south australia,flinders university of south australia,flinders.edu.au,Australia
griffith university,griffith university,griffith university,gu.edu.au,Australia
holmes institute,holmes institute,holmes institute,holmes.edu.au,Australia
"institute of technology, australia","institute of technology, australia","institute of technology, australia",iota.edu.au,Australia
international college of tourism and hotel management,international college of tourism and hotel management,international college of tourism and hotel management,icthm.edu.au,Australia
james cook university of north queensland,james cook university of north queensland,james cook university of north queensland,jcu.edu.au,Australia
la trobe university,la trobe university,la trobe university,latrobe.edu.au,Australia
macquarie university,macquarie university,macquarie university,mq.edu.au,Australia
marcus oldham college,marcus oldham college,marcus oldham college,marcusoldham.vic.edu.au,Australia
monash university|monash,monash university|monash,monash university,monash.edu|monash.edu.au,Australia
murdoch university,murdoch university,murdoch university,murdoch.edu.au,Australia
queensland university of technology,queensland university of technology,queensland university of technology,qut.edu.au,Australia
royal melbourne institute of technology,royal melbourne institute of technology,royal melbourne institute of technology,rmit.edu.au,Australia
southern cross university,southern cross university,southern cross university,scu.edu.au,Australia
swinburne university of technology,swinburne university of technology,swinburne university of technology,swin.edu.au,Australia
torrens university australia,torrens university australia,torrens university australia,torrens.edu.au,Australia
torrens university australia,torrens university australia,torrens university australia,tua.edu.au,Australia
university of adelaide,university of adelaide,university of adelaide,adelaide.edu.au,Australia
university of canberra,university of canberra,university of canberra,canberra.edu.au,Australia
university of melbourne,university of melbourne,university of melbourne,unimelb.edu.au|student.unimelb.edu.au,Australia
university of new england,university of new england,university of new england,une.edu.au,Australia
university of new south wales,university of new south wales,university of new south wales,unsw.edu.au,Australia
university of newcastle,university of newcastle,university of newcastle,newcastle.edu.au,Australia
university of notre dame australia,university of notre dame australia,university of notre dame australia,nd.edu.au,Australia
university of queensland,university of queensland,university of queensland,uq.edu.au,Australia
university of south australia,university of south australia,university of south australia,unisa.edu.au,Australia
university of southern queensland,university of southern queensland,university of southern queensland,usq.edu.au,Australia
university of sydney,university of sydney,university of sydney,sydney.edu.au,Australia
university of tasmania,university of tasmania,university of tasmania,utas.edu.au,Australia
university of technology sydney,university of technology sydney,university of technology sydney,uts.edu.au,Australia
university of the sunshine coast,university of the sunshine coast,university of the sunshine coast,usc.edu.au,Australia
university of western australia,university of western australia,university of western australia,uwa.edu.au,Australia
university of western sydney,university of western sydney,university of western sydney,uws.edu.au,Australia
university of wollongong,university of wollongong,university of wollongong,uow.edu.au,Australia
victoria university,victoria university,victoria university,vu.edu.au,Australia
akademie der bildenden künste wien,akademie der bildenden künste wien,akademie der bildenden künste wien,akbild.ac.at,Austria
donau-universität krems,donau-universität krems,donau-universität krems,donau-uni.ac.at,Austria
fachhochschule burgenland,fachhochschule burgenland,fachhochschule burgenland,fh-burgenland.at,Austria
fachhochschule für bank- und finanzwirtschaft,fachhochschule für bank- und finanzwirtschaft,fachhochschule für bank- und finanzwirtschaft,fh-vie.ac.at,Austria
fachhochschule joanneum,fachhochschule joanneum,fachhochschule joanneum,fh-joanneum.at,Austria
fachhochschule kärnten,fachhochschule kärnten,fachhochschule kärnten,fh-kaernten.ac.at,Austria
fachhochschule krems,fachhochschule krems,fachhochschule krems,fh-krems.ac.at,Austria
fachhochschule kufstein tirol,fachhochschule kufstein tirol,fachhochschule kufstein (tirol),fh-kufstein.ac.at,Austria
fachhochschule salzburg,fachhochschule salzburg,fachhochschule salzburg,fh-sbg.ac.at,Austria
fachhochschule st. pölten,fachhochschule st. pölten,fachhochschule st. pölten,fh-stpoelten.ac.at,Austria
fachhochschule vorarlberg,fachhochschule vorarlberg,fachhochschule vorarlberg,fhv.at,Austria
fachhochschule wiener neustadt,fachhochschule wiener neustadt,fachhochschule wiener neustadt,fhwn.ac.at,Austria
fachhochschulstudiengänge der wiener wirtschaft,fachhochschulstudiengänge der wiener wirtschaft,fachhochschulstudiengänge der wiener wirtschaft,fhw.at,Austria
fachhochschulstudiengänge hagenberg,fachhochschulstudiengänge hagenberg,fachhochschulstudiengänge hagenberg,fh-hagenberg.at,Austria
fachhochschulstudiengänge krems imc,fachhochschulstudiengänge krems imc,fachhochschulstudiengänge krems imc,imc-krems.ac.at,Austria
fachhochschulstudiengänge steyr,fachhochschulstudiengänge steyr,fachhochschulstudiengänge steyr,fh-steyr.at,Austria
fachhochschulstudiengänge wels,fachhochschulstudiengänge wels,fachhochschulstudiengänge wels,fh-wels.at,Austria
institute of science and technology,institute of science and technology,institute of science and technology,ist.ac.at,Austria
johannes kepler universität linz,johannes kepler universität linz,johannes kepler universität linz,jku.at,Austria
katholisch-theologische privatuniversität linz,katholisch-theologische privatuniversität linz,katholisch-theologische privatuniversität linz,kth-linz.ac.at,Austria
mci-management center innsbruck,mci-management center innsbruck,mci-management center innsbruck,mci.edu,Austria
medizinische universität graz,medizinische universität graz,medizinische universität graz,meduni-graz.at,Austria
medizinische universität innsbruck,medizinische universität innsbruck,medizinische universität innsbruck,i-med.ac.at,Austria
medizinische universität wien,medizinische universität wien,medizinische universität wien,meduniwien.at,Austria
montanuniversität leoben,montanuniversität leoben,montanuniversität leoben,unileoben.ac.at,Austria
private universität für medizinische informatik und technik tirol,private universität für medizinische informatik und technik tirol,private universität für medizinische informatik und technik tirol,umit.at,Austria
technikum wien,technikum wien,technikum wien,technikum-wien.at,Austria
technische universität graz,technische universität graz,technische universität graz,tugraz.at,Austria
technische universität wien|tu wien,technische universität wien|tu wien,technische universität wien,tuwien.ac.at,Austria
universität für angewandte kunst wien,universität für angewandte kunst wien,universität für angewandte kunst wien,ns2.uni-ak.ac.at,Austria
universität für bodenkultur wien,universität für bodenkultur wien,universität für bodenkultur wien,boku.ac.at,Austria
universität für künstlerische und industrielle gestaltung linz,universität für künstlerische und industrielle gestaltung linz,universität für künstlerische und industrielle gestaltung linz,khs-linz.ac.at,Austria
universität für musik und darstellende kunst graz,universität für musik und darstellende kunst graz,universität für musik und darstellende kunst graz,kug.ac.at,Austria
universität für musik und darstellende kunst wien,universität für musik und darstellende kunst wien,universität für musik und darstellende kunst wien,mdw.ac.at,Austria
universität graz,universität graz,universität graz,kfunigraz.ac.at,Austria
universität innsbruck,universität innsbruck,universität innsbruck,uibk.ac.at,Austria
universität klagenfurt,universität klagenfurt,universität klagenfurt,uni-klu.ac.at,Austria
universität mozarteum salzburg,universität mozarteum salzburg,universität mozarteum salzburg,moz.ac.at,Austria
universität salzburg,universität salzburg,universität salzburg,sbg.ac.at,Austria
universität vienna,universität vienna,universität vienna,univie.ac.at,Austria
veterinärmedizinische universität wien,veterinärmedizinische universität wien,veterinärmedizinische universität wien,vu-wien.ac.at,Austria
webster university vienna,webster university vienna,"webster university, vienna",webster.ac.at,Austria
wirtschaftsuniversität wien,wirtschaftsuniversität wien,wirtschaftsuniversität wien,wu-wien.ac.at,Austria
azerbaijan diplomatic academy,azerbaijan diplomatic academy,azerbaijan diplomatic academy,ada.edu.az,Azerbaijan
azerbaijan medical university,azerbaijan medical university,azerbaijan medical university,amu.edu.az,Azerbaijan
azerbaijan national conservatorie,azerbaijan national conservatorie,azerbaijan national conservatorie,conservatory.az,Azerbaijan
azerbaijan state agricultural academy,azerbaijan state agricultural academy,azerbaijan state agricultural academy,adau.edu.az,Azerbaijan
azerbaijan state customs committee academy,azerbaijan state customs committee academy,azerbaijan state customs committee academy,ascca.gov.az,Azerbaijan
azerbaijan state marine academy,azerbaijan state marine academy,azerbaijan state marine academy,adda.edu.az,Azerbaijan
azerbaijan state pedagogic university,azerbaijan state pedagogic university,azerbaijan state pedagogic university,adpu.edu.az,Azerbaijan
azerbaijan state university of culture and arts,azerbaijan state university of culture and arts,azerbaijan state university of culture and arts,admiu.edu.az,Azerbaijan
azerbaijan state university of economics,azerbaijan state university of economics,azerbaijan state university of economics,unec.edu.az,Azerbaijan
azerbaijan state university of oil and industry,azerbaijan state university of oil and industry,azerbaijan state university of oil and industry,asoiu.edu.az,Azerbaijan
azerbaijan technical university,azerbaijan technical university,azerbaijan technical university,aztu.edu.az,Azerbaijan
azerbaijan toursim institute,azerbaijan toursim institute,azerbaijan toursim institute,tourism.edu.az,Azerbaijan
azerbaijan university,azerbaijan university,azerbaijan university,au.edu.az,Azerbaijan
azerbaijan university of architecture and construction,azerbaijan university of architecture and construction,azerbaijan university of architecture and construction,azmiu.edu.az,Azerbaijan
